"","PID","HHID","Sex","Ethnicity","Age","BMI","Grip","Religion","ReligionPublic","ReligionPrivate","GodInequality","EducationYears","PeaceVote","AbortionLegal","QueerMarriageOK","DrugsLegal","GiveOther","LeaveOther","ReduceOther","ChildrenAlive","hh_wealth","RelPub","RelPri","GodIneq","community"
"338","Q11","Y4S","F","MESTIZO",30,24.6221837490898,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","YES",11,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",10,112,0,3,4752,2,2,1,"highland"
"339","Q6D","DD2","M","MESTIZO",47.5833333333333,25.7657134562346,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",8,"AGREE","DISAGREE","DISAGREE","AGREE",7,119,0,3,12244,2,1,1,"highland"
"340","QE2","SNB","M","MESTIZO",44.0833333333333,23.8472717664156,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","YES",11,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",9,6,0,3,12778,2,2,1,"highland"
"341","RCU","N7W","F","MESTIZO",62.3333333333333,22.1640903686088,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","NO",5,"DONTKNOW","DISAGREE","AGREE","AGREE",10,13,0,1,3900,2,1,2,"highland"
"342","RM0","F9Y","F","MESTIZO",19.6666666666667,23.0680507497116,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","NO",10.5,"DONTKNOW","DISAGREE","AGREE","AGREE",8,139,0,0,15751,2,1,2,"highland"
"343","RR8","V8B","M","MESTIZO",68.8333333333333,25,"UNKNOWN","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",5,"AGREE","DISAGREE","AGREE","DISAGREE",2,3,0,2,6637.1,2,1,2,"highland"
"344","RW0","SPW","F","MESTIZO",56.25,30.0401753104456,"UNKNOWN","CATHOLIC","NEVER","NEVER","NO",9,"AGREE","DISAGREE","DISAGREE","AGREE",2,139,1,0,7805,2,2,2,"highland"
"345","S2J","A23","M","MESTIZO",25.25,22.9853975121687,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","NO",11,"DISAGREE","DISAGREE","AGREE","AGREE",8,108,0,1,12286,2,2,2,"highland"
"346","S75","J4N","F","MESTIZO",19.0833333333333,20,"UNKNOWN","CHRISTIAN","AFEWTIMESPERYEAR","EVERYDAY","NO",11,"AGREE","DISAGREE","DONTKNOW","AGREE",10,123,3,0,3100.3,2,1,2,"highland"
"347","SVV","HGB","F","MESTIZO",43.6666666666667,26.3979773944081,"UNKNOWN","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","DONTKNOW",5,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",10,140,0,4,2510,2,1,2,"highland"
"348","SY0","YTH","M","MESTIZO",40.75,25.4326859558726,"UNKNOWN","NONE","NEVER","NEVER","NO",6,"DISAGREE","AGREE","DISAGREE","DISAGREE",10,139,0,1,2400,2,2,2,"highland"
