"","PID","HHID","Sex","Ethnicity","Age","BMI","Grip","Religion","ReligionPublic","ReligionPrivate","GodInequality","EducationYears","PeaceVote","AbortionLegal","QueerMarriageOK","DrugsLegal","GiveOther","LeaveOther","ReduceOther","ChildrenAlive","hh_wealth","RelPub","RelPri","GodIneq","community"
"1","AB9","VJR","F","AFROCOLOMBIAN",40.4166666666667,29.2159763313609,"24.325","CATHOLIC","AFEWTIMESPERWEEK","AFEWTIMESPERWEEK","YES",7,"AGREE","DISAGREE","DISAGREE","DISAGREE",12,114,0,3,25270,1,2,1,"coastal"
"2","AJJ","ZGP","F","AFROCOLOMBIAN",43.9166666666667,35.5972746545137,"27.25","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","DONTKNOW",9,"AGREE","AGREE","DISAGREE","DISAGREE",15,113,0,0,11840,2,1,2,"coastal"
"3","AMU","RXP","M","EMBERA",28.25,24.2424242424242,"28.35","NONE","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","YES",14,"AGREE","AGREE","AGREE","DISAGREE",15,90,0,3,520,2,2,1,"coastal"
"4","AY9","C7R","M","AFROCOLOMBIAN",38.25,34.4938864785399,"32.325","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","NO",11,"AGREE","DISAGREE","DISAGREE","AGREE",15,105,3,2,14820,2,2,2,"coastal"
"5","B7D","GYQ","F","AFROCOLOMBIAN",82.75,20.8333333333333,"12.45","CATHOLIC","ONCEPERWEEK","EVERYDAY","YES",0,"DONTKNOW","DISAGREE","DONTKNOW","DISAGREE",10,96,2,5,1323,1,1,1,"coastal"
"6","BFX","CW2","F","AFROCOLOMBIAN",43.3333333333333,29.169033378997,"38.075","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","YES",3,"AGREE","AGREE","DISAGREE","DISAGREE",11,83,0,5,17020,2,2,1,"coastal"
"7","C23","VWH","F","EMBERA",34,28.2416963783074,"12.95","NONE","AFEWTIMESPERWEEK","NEVER","YES",0,"AGREE","DISAGREE","AGREE","DISAGREE",12,48,0,7,2090,1,2,1,"coastal"
"8","CHC","FES","M","AFROCOLOMBIAN",31.4166666666667,24.6631801052536,"33.6","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",11,"AGREE","DISAGREE","DISAGREE","DISAGREE",11,107,3,1,8654,2,1,1,"coastal"
"9","CKE","GUF","M","EMBERA",29.8333333333333,21.7047344719867,"37.3","SPIRITUAL","NEVER","EVERYDAY","YES",3,"AGREE","DISAGREE","DISAGREE","DISAGREE",5,0,10,4,4720,2,1,1,"coastal"
"10","D34","MRC","F","AFROCOLOMBIAN",20.6666666666667,19.8285531164877,"23.1","SPIRITUAL","NEVER","NEVER","NO",11,"AGREE","DISAGREE","AGREE","DISAGREE",13,54,0,1,4880,2,2,2,"coastal"
"11","DSD","KRB","F","AFROCOLOMBIAN",46.1666666666667,27.5533392248453,"39.15","CATHOLIC","AFEWTIMESPERYEAR","NEVER","NO",11,"AGREE","DISAGREE","DISAGREE","DISAGREE",12,107,2,3,6540,2,2,2,"coastal"
"12","DUB","FRN","M","AFROCOLOMBIAN",36.1666666666667,27.0061728395062,"41.075","CATHOLIC","ONCEPERWEEK","MORETHANONCEPERDAY","YES",9,"DISAGREE","DISAGREE","AGREE","DISAGREE",15,3,0,3,12986,1,1,1,"coastal"
"13","DWH","JFC","M","EMBERA",35.8333333333333,24.0955004591368,"43.975","NONE","NEVER","NEVER","UNKNOWN",0,"DONTKNOW","DONTKNOW","DONTKNOW","DONTKNOW",14,100,0,1,320,2,2,2,"coastal"
"14","DY7","V73","F","EMBERA",39.5,25.8203335126412,"20.775","CATHOLIC","AFEWTIMESPERYEAR","NEVER","YES",0,"AGREE","AGREE","DISAGREE","DISAGREE",10,58,0,8,1527,2,2,1,"coastal"
"15","DYG","W99","M","AFROCOLOMBIAN",29.9166666666667,30.2914232819432,"58.45","SPIRITUAL","AFEWTIMESPERYEAR","AFEWTIMESPERMONTH","NO",5,"AGREE","DISAGREE","AGREE","AGREE",15,105,0,1,5880,2,2,2,"coastal"
"16","E1F","VV1","F","AFROCOLOMBIAN",40.9166666666667,26.2204081632653,"37.925","CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERMONTH","YES",7,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",11,106,5,5,5420,2,2,1,"coastal"
"17","ERD","DUZ","F","AFROCOLOMBIAN",53.5833333333333,28.7638443750254,"21.225","CATHOLIC","ONCEPERWEEK","AFEWTIMESPERWEEK","YES",2,"AGREE","DISAGREE","DISAGREE","DISAGREE",10,99,0,3,15880,1,2,1,"coastal"
"18","F06","ZGP","M","AFROCOLOMBIAN",49.5833333333333,29.2,"31.9","CATHOLIC","ONCEPERWEEK","MORETHANONCEPERDAY","YES",5,"AGREE","DISAGREE","DISAGREE","DONTKNOW",15,113,0,1,11840,1,1,1,"coastal"
"19","F3C","MRC","M","AFROCOLOMBIAN",51.5,25.8953168044077,"37.475","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",3,"AGREE","AGREE","DISAGREE","DISAGREE",11,65,0,5,4880,2,1,1,"coastal"
"20","F6V","MME","F","AFROCOLOMBIAN",31.8333333333333,18.329632278219,"19.75","CATHOLIC","AFEWTIMESPERMONTH","MORETHANONCEPERDAY","YES",11,"AGREE","DISAGREE","DISAGREE","DISAGREE",9,115,0,3,820,2,1,1,"coastal"
"21","FCZ","MRC","F","AFROCOLOMBIAN",40.75,34.6020761245675,"30.925","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",6,"AGREE","DISAGREE","DISAGREE","DISAGREE",12,69,0,11,4880,2,1,1,"coastal"
"22","FF2","BN0","F","AFROCOLOMBIAN",33.6666666666667,24.0505852685461,"30.275","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",10,"AGREE","AGREE","AGREE","DISAGREE",10,110,0,4,11505,2,1,2,"coastal"
"23","FKB","GV4","M","AFROCOLOMBIAN",52.5833333333333,19.814196545217,"37.575","CATHOLIC","AFEWTIMESPERMONTH","NEVER","YES",0,"AGREE","DISAGREE","AGREE","AGREE",15,106,5,3,14270,2,2,1,"coastal"
"24","G0A","W99","F","AFROCOLOMBIAN",35.9166666666667,35.418783568007,"29.975","CHRISTIAN","AFEWTIMESPERWEEK","EVERYDAY","YES",17,"AGREE","DISAGREE","DISAGREE","DISAGREE",15,64,6,3,5880,1,1,1,"coastal"
"25","GC2","C7R","F","AFROCOLOMBIAN",39.75,31.0516691168561,"35.125","CATHOLIC","ONCEPERWEEK","AFEWTIMESPERWEEK","YES",5,"AGREE","DISAGREE","AGREE","AGREE",15,114,0,2,14820,1,2,1,"coastal"
"26","GEB","QJH","M","MESTIZO",70,20.3460207612457,"32.575","PENTECOSTAL","MORETHANONCEPERWEEK","MORETHANONCEPERDAY","NO",5,"DISAGREE","DISAGREE","DISAGREE","AGREE",15,93,0,7,9320,1,1,2,"coastal"
"27","GKN","KSG","F","EMBERA",30.8333333333333,21.0786011080332,"23.55","NONE","AFEWTIMESPERMONTH","NEVER","NO",0,"AGREE","DISAGREE","DISAGREE","DISAGREE",14,101,0,6,220,2,2,2,"coastal"
"28","H7Z","FFN","M","AFROCOLOMBIAN",68.0833333333333,19.9172693733284,"31.741325136612","CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERMONTH","NO",2,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",4,29,1,9,19050,2,2,2,"coastal"
"29","HAF","VWH","M","EMBERA",31.6666666666667,24.6137409598948,"38.1","NONE","AFEWTIMESPERYEAR","EVERYDAY","NO",0,"AGREE","DISAGREE","AGREE","DISAGREE",11,105,0,7,2090,2,1,2,"coastal"
"30","HAN","FES","M","AFROCOLOMBIAN",33.4166666666667,25.5805121527778,"62.75","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","NO",8,"AGREE","DISAGREE","DISAGREE","AGREE",8,108,2,0,8654,2,2,2,"coastal"
"31","JAX","QJH","F","AFROCOLOMBIAN",68.75,24.0166493236212,"22.85","PENTECOSTAL","MORETHANONCEPERWEEK","EVERYDAY","YES",3,"DISAGREE","DISAGREE","DISAGREE","AGREE",14,4,0,7,9320,1,1,1,"coastal"
"32","JEB","G09","F","AFROCOLOMBIAN",33.75,30.6965761511216,"20.5","CATHOLIC","AFEWTIMESPERWEEK","EVERYDAY","DONTKNOW",3,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",11,66,0,5,5820,1,1,2,"coastal"
"33","JGV","PJZ","F","MESTIZO",62.4166666666667,26.440598839245,"13.3","CATHOLIC","ONCEPERWEEK","AFEWTIMESPERWEEK","YES",2,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",13,100,0,3,4960,1,2,1,"coastal"
"34","JPE","V73","M","EMBERA",40.0833333333333,22.0886198695506,"27.275","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","NO",0,"AGREE","AGREE","DISAGREE","AGREE",7,74,1,8,1527,2,2,2,"coastal"
"35","JUS","GV4","F","AFROCOLOMBIAN",45.4166666666667,31.4452812049351,"29.725","CATHOLIC","AFEWTIMESPERWEEK","AFEWTIMESPERWEEK","YES",0,"AGREE","DISAGREE","DISAGREE","DISAGREE",15,104,1,5,14270,1,2,1,"coastal"
"36","JZU","VYV","F","EMBERA",59.75,20.1113211510187,"11.15","NONE","NEVER","NEVER","UNKNOWN",0,"DONTKNOW","DONTKNOW","DONTKNOW","DONTKNOW",10,0,1,3,20,2,2,2,"coastal"
"37","K4E","YS0","F","AFROCOLOMBIAN",19.3333333333333,19.1735537190083,"26.775","EVANGELICAL","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","YES",10,"AGREE","AGREE","DONTKNOW","DISAGREE",15,94,0,1,32040,2,2,1,"coastal"
"38","K71","KRB","M","AFROCOLOMBIAN",45.6666666666667,29.4784580498866,"45.525","SPIRITUAL","NEVER","EVERYDAY","YES",7,"AGREE","DISAGREE","DISAGREE","DISAGREE",15,115,0,3,6540,2,1,1,"coastal"
"39","M19","ZGP","M","AFROCOLOMBIAN",50.5833333333333,26.0317687977339,"34.625","CATHOLIC","AFEWTIMESPERYEAR","NEVER","YES",5,"AGREE","DISAGREE","AGREE","DISAGREE",10,114,0,3,11840,2,2,1,"coastal"
"40","MBS","VV1","M","AFROCOLOMBIAN",45.9166666666667,25.0297609963066,"53.925","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",11,"AGREE","AGREE","DISAGREE","AGREE",14,114,1,2,5420,2,1,1,"coastal"
"41","MK3","GV4","F","AFROCOLOMBIAN",32.0833333333333,25.2894185996839,"24.125","EVANGELICAL","AFEWTIMESPERYEAR","EVERYDAY","NO",3,"AGREE","DISAGREE","DISAGREE","AGREE",14,110,0,3,14270,2,1,2,"coastal"
"42","MYQ","FES","F","AFROCOLOMBIAN",35.75,34.1030330742265,"23.7","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","DONTKNOW",12,"AGREE","DISAGREE","AGREE","DISAGREE",15,111,1,5,8654,2,1,2,"coastal"
"43","N3A","HF3","F","EMBERA",22.3333333333333,25.4780184850115,"26.15","NONE","NEVER","EVERYDAY","YES",5,"AGREE","DISAGREE","DISAGREE","DISAGREE",8,53,0,2,1480,2,1,1,"coastal"
"44","N67","DA9","F","EMBERA",19.4166666666667,26.0709960169312,"24.775","SPIRITUAL","NEVER","EVERYDAY","YES",0,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",8,70,0,3,572,2,1,1,"coastal"
"45","N6Q","CW2","M","AFROCOLOMBIAN",41.4166666666667,29.79152040536,"45.875","NONE","AFEWTIMESPERYEAR","NEVER","YES",5,"AGREE","DISAGREE","AGREE","DISAGREE",11,109,2,6,17020,2,2,1,"coastal"
"46","NCW","DA9","M","EMBERA",26.4166666666667,26.857073309262,"47.55","NONE","NEVER","NEVER","NO",10,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",9,80,0,3,572,2,2,2,"coastal"
"47","ND3","MEN","F","AFROCOLOMBIAN",39.75,31.6712225468941,"33.075","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",8,"AGREE","DISAGREE","DISAGREE","AGREE",10,11,1,7,20,2,1,1,"coastal"
"48","NK4","RK8","F","AFROCOLOMBIAN",24.3333333333333,31.5723517474212,"33.2","CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","YES",9,"DISAGREE","DISAGREE","AGREE","DISAGREE",14,17,3,3,4828,2,2,1,"coastal"
"49","NR7","E8V","F","AFROCOLOMBIAN",19,35.4191263282172,"25.15","EVANGELICAL","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","YES",9,"DISAGREE","DISAGREE","AGREE","DISAGREE",12,92,10,1,3120,2,2,1,"coastal"
"50","P4Z","AN7","M","EMBERA",40.4166666666667,23.7515485497031,"30.45","NONE","NEVER","NEVER","DONTKNOW",1,"DONTKNOW","DISAGREE","DISAGREE","DONTKNOW",14,56,0,5,310,2,2,2,"coastal"
"51","P5W","YS0","M","AFROCOLOMBIAN",25.25,20.9567901234568,"54.125","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","DONTKNOW",2,"AGREE","DISAGREE","AGREE","AGREE",13,115,0,1,32040,2,2,2,"coastal"
"52","P64","MT4","F","AFROCOLOMBIAN",33.9166666666667,28.5787517621428,"20.55","EVANGELICAL","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","NO",7,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",0,58,5,3,4620,2,2,2,"coastal"
"53","PN5","V5D","F","AFROCOLOMBIAN",52.8333333333333,25.7963988919668,"22.625","NONE","NEVER","EVERYDAY","YES",0,"DISAGREE","DISAGREE","AGREE","DISAGREE",15,100,8,4,2460,2,1,1,"coastal"
"54","QD1","PJZ","M","MESTIZO",59.9166666666667,28.1826293872695,"34.35","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",0,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",15,96,0,3,4960,2,1,1,"coastal"
"55","QZM","CW2","F","AFROCOLOMBIAN",19.3333333333333,21.7469387755102,"32.175","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","NO",11,"AGREE","DONTKNOW","AGREE","DISAGREE",15,115,0,0,17020,2,2,2,"coastal"
"56","R7H","T2Z","M","EMBERA",38.5833333333333,25.4774469475038,"41.275","NONE","NEVER","NEVER","DONTKNOW",0,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",10,66,1,8,4130,2,2,2,"coastal"
"57","S0H","B6F","F","AFROCOLOMBIAN",34.4166666666667,22.9122593137079,"29.9","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","DONTKNOW",11,"AGREE","DISAGREE","DISAGREE","DONTKNOW",10,94,0,5,7800,2,1,2,"coastal"
"58","S64","J44","M","MESTIZO",45.3333333333333,27.3324075243025,"51.4","NONE","AFEWTIMESPERYEAR","NEVER","NO",18,"DISAGREE","AGREE","AGREE","AGREE",15,115,0,3,102720,2,2,2,"coastal"
"59","SNZ","GTD","F","EMBERA",28.3333333333333,23.0224321133412,"15.4","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","YES",0,"AGREE","DISAGREE","AGREE","DISAGREE",14,5,6,5,40,2,2,1,"coastal"
"60","SYE","ZGP","M","AFROCOLOMBIAN",78.75,25.5931751532925,"25.225","CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERMONTH","YES",0,"AGREE","DISAGREE","DISAGREE","DISAGREE",14,114,0,10,11840,2,2,1,"coastal"
"61","T01","WPW","M","AFROCOLOMBIAN",20.5,26.9486996123302,"45","CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERMONTH","YES",11,"AGREE","AGREE","AGREE","AGREE",15,100,0,1,16130,2,2,1,"coastal"
"62","T1B","CYJ","M","AFROCOLOMBIAN",44.5,24.0073868882733,"52.175","NONE","NEVER","AFEWTIMESPERMONTH","DONTKNOW",0,"AGREE","DISAGREE","DISAGREE","DISAGREE",14,82,0,7,16520,2,2,2,"coastal"
"63","T4Y","R9R","F","AFROCOLOMBIAN",65.75,29.7190426638918,"15.625","CATHOLIC","ONCEPERWEEK","EVERYDAY","DONTKNOW",3,"AGREE","DISAGREE","DISAGREE","DISAGREE",11,115,0,7,17720,1,1,2,"coastal"
"64","T91","KSG","M","EMBERA",29.8333333333333,28.8531775018262,"38.975","SPIRITUAL","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","NO",3,"AGREE","DISAGREE","DISAGREE","DISAGREE",15,100,0,6,220,2,2,2,"coastal"
"65","TDD","RTT","M","AFROCOLOMBIAN",22.5833333333333,22.5350334553718,"47.625","CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","YES",12,"DISAGREE","DISAGREE","DISAGREE","AGREE",9,80,5,0,10077,2,2,1,"coastal"
"66","TM1","RXP","F","EMBERA",19.6666666666667,27.4801890963507,"15.75","SPIRITUAL","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","YES",2,"AGREE","DISAGREE","DISAGREE","DISAGREE",15,105,0,1,520,2,2,1,"coastal"
"67","U0H","FWX","F","MESTIZO",33.5833333333333,23.9750260145682,"35.75","SEVENTH DAY ADVENTIST","AFEWTIMESPERMONTH","EVERYDAY","YES",3,"DISAGREE","DISAGREE","DISAGREE","AGREE",10,103,2,3,8670,2,1,1,"coastal"
"68","U0J","HN1","F","AFROCOLOMBIAN",45.3333333333333,34.5292457755368,"23.85","CATHOLIC","ONCEPERWEEK","EVERYDAY","YES",1,"AGREE","DISAGREE","AGREE","AGREE",0,62,0,5,8480,1,1,1,"coastal"
"69","UNT","HMJ","F","EMBERA",24,23.179617585212,"19.6","CATHOLIC","AFEWTIMESPERYEAR","NEVER","NO",13,"DISAGREE","DISAGREE","DISAGREE","AGREE",15,114,0,2,4520,2,2,2,"coastal"
"70","V1C","GUF","F","EMBERA",27.75,27.8260025009409,"22.3","NONE","NEVER","NEVER","YES",4,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",14,83,10,3,4720,2,2,1,"coastal"
"71","VCT","FFN","F","AFROCOLOMBIAN",35.8333333333333,25.4934210526316,"31.741325136612","EVANGELICAL","ONCEPERWEEK","EVERYDAY","YES",1,"DISAGREE","DISAGREE","AGREE","DISAGREE",8,45,2,10,19050,1,1,1,"coastal"
"72","VSX","VYV","M","EMBERA",52.9166666666667,24.5161290322581,"24.525","NONE","NEVER","NEVER","UNKNOWN",0,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",7,0,0,3,20,2,2,2,"coastal"
"73","VWW","ABX","F","AFROCOLOMBIAN",54.6666666666667,26.850815940743,"27.35","CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERMONTH","NO",2,"AGREE","DISAGREE","DISAGREE","DISAGREE",8,0,0,5,420,2,2,2,"coastal"
"74","WCK","E8V","M","AFROCOLOMBIAN",22.5,21.2094432521146,"52.675","SPIRITUAL","AFEWTIMESPERMONTH","EVERYDAY","NO",6,"AGREE","AGREE","AGREE","AGREE",14,95,10,1,3120,2,1,2,"coastal"
"75","WQE","FWX","M","AFROCOLOMBIAN",43.25,27.6253619875019,"40.325","NONE","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","NO",6,"AGREE","DISAGREE","DISAGREE","DISAGREE",11,99,5,5,8670,2,2,2,"coastal"
"76","X1J","ZGP","F","AFROCOLOMBIAN",82.75,26.8433949654711,"14.1","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",0,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",15,114,0,10,11840,2,1,1,"coastal"
"77","X2X","FRN","F","MESTIZO",34.0833333333333,29.4107349182452,"35.2","CATHOLIC","ONCEPERWEEK","EVERYDAY","YES",9,"DISAGREE","AGREE","AGREE","DISAGREE",15,84,1,3,12986,1,1,1,"coastal"
"78","X4C","CBH","M","AFROCOLOMBIAN",41,21.940638556849,"37.875","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","YES",8,"AGREE","AGREE","DISAGREE","DISAGREE",13,103,1,4,12670,2,2,1,"coastal"
"79","X9J","YS0","F","AFROCOLOMBIAN",19.8333333333333,21.9928009176852,"33.775","CATHOLIC","AFEWTIMESPERWEEK","AFEWTIMESPERWEEK","YES",10,"AGREE","DISAGREE","AGREE","AGREE",14,95,1,1,32040,1,2,1,"coastal"
"80","XTG","FES","M","AFROCOLOMBIAN",58.1666666666667,23.9692893480228,"45.75","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","YES",5,"AGREE","DISAGREE","DISAGREE","DISAGREE",15,69,7,1,8654,2,2,1,"coastal"
"81","XVF","HMJ","F","EMBERA",22.3333333333333,26.655560183257,"17.8","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","YES",8,"AGREE","DISAGREE","DONTKNOW","DISAGREE",10,4,0,3,4520,2,2,1,"coastal"
"82","XXM","FES","F","AFROCOLOMBIAN",87.8333333333333,24.7675659198293,"10.6","CATHOLIC","ONCEPERWEEK","EVERYDAY","DONTKNOW",1,"AGREE","DISAGREE","DISAGREE","DISAGREE",14,12,3,1,8654,1,1,2,"coastal"
"83","YCU","JJP","F","AFROCOLOMBIAN",49.3333333333333,24.8301193755739,"28.425","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","DONTKNOW",5,"AGREE","DISAGREE","DISAGREE","DISAGREE",11,51,0,2,3820,2,1,2,"coastal"
"84","YGN","HN1","M","AFROCOLOMBIAN",64.6666666666667,25.4779248315721,"41.75","CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","NO",5,"AGREE","DISAGREE","DISAGREE","AGREE",0,91,0,6,8480,2,2,2,"coastal"
"85","YX3","RK8","M","AFROCOLOMBIAN",36.5,28.4511540136449,"54.3","NONE","NEVER","NEVER","NO",4,"AGREE","AGREE","AGREE","DISAGREE",13,82,7,3,4828,2,2,2,"coastal"
"86","Z6V","WV2","F","AFROCOLOMBIAN",48,32.6833215861331,"35.9","CATHOLIC","AFEWTIMESPERWEEK","EVERYDAY","DONTKNOW",2,"AGREE","DISAGREE","DISAGREE","DISAGREE",12,114,0,4,2020,1,1,2,"coastal"
"87","Z8V","ZGP","M","AFROCOLOMBIAN",44.3333333333333,22.98026648676,"36.575","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",6,"AGREE","AGREE","DISAGREE","DISAGREE",15,86,1,1,11840,2,1,2,"coastal"
"88","ZAT","ABX","M","AFROCOLOMBIAN",60.0833333333333,28.1777777777778,"14.625","CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERMONTH","DONTKNOW",0,"DISAGREE","DISAGREE","AGREE","AGREE",5,18,10,5,420,2,2,2,"coastal"
"89","ZGA","RTT","F","AFROCOLOMBIAN",56.6666666666667,29.8844518047348,"24.8","CATHOLIC","ONCEPERWEEK","AFEWTIMESPERWEEK","NO",3,"DONTKNOW","AGREE","DONTKNOW","AGREE",12,65,0,9,10077,1,2,2,"coastal"
"90","ZVF","GDV","F","AFROCOLOMBIAN",31.8333333333333,32.3807082745952,"23.575","SPIRITUAL","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","NO",5,"DONTKNOW","DONTKNOW","DONTKNOW","DONTKNOW",5,96,0,2,14050,2,2,2,"coastal"
"91","ZVQ","FWX","F","MESTIZO",55.1666666666667,32.5917590027701,"15.95","CATHOLIC","AFEWTIMESPERWEEK","AFEWTIMESPERWEEK","YES",15,"AGREE","AGREE","AGREE","AGREE",15,88,0,4,8670,1,2,1,"coastal"
"92","ZWP","GTD","M","MESTIZO",27.5,23.5482395976223,"45.025","NONE","NEVER","NEVER","YES",3,"AGREE","DONTKNOW","AGREE","DISAGREE",15,71,1,4,40,2,2,1,"coastal"
"93","ZZQ","AHT","F","AFROCOLOMBIAN",23.3333333333333,25.7166047246785,"26.325","EVANGELICAL","AFEWTIMESPERWEEK","EVERYDAY","YES",9,"DISAGREE","DISAGREE","DISAGREE","AGREE",9,25,0,2,2462,1,1,1,"coastal"
"94","FUT","HF3","M","EMBERA",23.9166666666667,25.4934210526316,"36.075","NONE","NEVER","NEVER","UNKNOWN",10,"AGREE","AGREE","DISAGREE","DISAGREE",NA,NA,NA,1,1480,2,2,2,"coastal"
"95","KE0","RTT","F","AFROCOLOMBIAN",30.1666666666667,33.892781489327,"26.55","CATHOLIC","ONCEPERWEEK","EVERYDAY","NO",15,"AGREE","AGREE","AGREE","AGREE",NA,NA,NA,1,10077,1,1,2,"coastal"
"96","QVY","DUZ","M","AFROCOLOMBIAN",55.1666666666667,27.0163363790989,"30.625","EVANGELICAL","MORETHANONCEPERWEEK","AFEWTIMESPERWEEK","YES",1,"DISAGREE","DISAGREE","DISAGREE","DONTKNOW",NA,NA,NA,3,15880,1,2,1,"coastal"
"97","N64","GYQ","M","AFROCOLOMBIAN",24.5833333333333,25.003302946228,"44.8","CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","YES",6,"AGREE","AGREE","DISAGREE","DISAGREE",NA,NA,NA,0,1323,2,2,1,"coastal"
"98","W90","MT4","M","AFROCOLOMBIAN",31.4166666666667,20.985049383831,"20.55","SPIRITUAL","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","YES",8,"AGREE","DISAGREE","DISAGREE","AGREE",NA,NA,NA,2,4620,2,2,1,"coastal"
"99","CV9","NKA","M","AFROCOLOMBIAN",23.5,22.8615311909263,"47.325","EVANGELICAL","AFEWTIMESPERMONTH","EVERYDAY","YES",7,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",NA,NA,NA,0,9581,2,1,1,"coastal"
"100","FGN","WPW","F","AFROCOLOMBIAN",23,24.1510186115656,"21.225","CHRISTIAN","AFEWTIMESPERWEEK","EVERYDAY","YES",14,"AGREE","DISAGREE","DISAGREE","DISAGREE",NA,NA,NA,0,16130,1,1,1,"coastal"
"101","Y15","TNN","F","EMBERA",62.9166666666667,24.2421475529584,"25.525","NONE","NEVER","EVERYDAY","YES",0,"AGREE","DISAGREE","DISAGREE","DISAGREE",NA,NA,NA,10,80,2,1,1,"coastal"
"102","SSD","TNN","M","EMBERA",62.3333333333333,24.2878013148283,"22.3","NONE","NEVER","AFEWTIMESPERWEEK","NO",0,"AGREE","DISAGREE","DISAGREE","DISAGREE",NA,NA,NA,10,80,2,2,2,"coastal"
"103","TUE","VJR","M","AFROCOLOMBIAN",34.1666666666667,30.0759777318721,"46.875","NONE","AFEWTIMESPERYEAR","AFEWTIMESPERMONTH","DONTKNOW",3,"AGREE","DISAGREE","DONTKNOW","DISAGREE",NA,NA,NA,2,25270,2,2,2,"coastal"
"104","X58","MC0","F","AFROCOLOMBIAN",19.5833333333333,27.3593975324467,"24.05","NONE","NEVER","NEVER","NO",9,"DISAGREE","AGREE","AGREE","DISAGREE",NA,NA,NA,1,6872,2,2,2,"coastal"
"105","KJ2","KN7","F","AFROCOLOMBIAN",33.25,30.8596318211703,"21.4","CATHOLIC","AFEWTIMESPERWEEK","NEVER","NO",2,"AGREE","AGREE","AGREE","DISAGREE",NA,NA,NA,3,720,1,2,2,"coastal"
"106","Q0Z","SAY","F","EMBERA",26.6666666666667,22.7220139756583,"25.75","NONE","NEVER","NEVER","DONTKNOW",0,"DONTKNOW","DISAGREE","AGREE","DISAGREE",NA,NA,NA,2,220,2,2,2,"coastal"
"107","K3V","SAY","M","EMBERA",28,24.9740824004939,"40.225","NONE","NEVER","NEVER","NO",0,"AGREE","DISAGREE","AGREE","DISAGREE",NA,NA,NA,2,220,2,2,2,"coastal"
